RPS,Latency,TotalReq_Server1,TotalReq_S2,CPU_S1,CPU_S2
5,870,162,138,8.2,5.8
10,1174,313,287,28.55,13.21
15,1280,461,439,38.24,19.33
20,1494,615,585,47.1,24.4
25,1605,752,748,58.5,29.7
30,1820,907,893,73.7,40.6
35,1910,1056,1044,85.0,46.0
40,4159,1203,1197,98.1,55.2
45,5273,1183,1517,97.1,68.9
50,7356,1200,1800,97.9,77.9
55,8530,1202,2098,98.3,87.6
60,9895,1197,2403,97.6,96.6
65,11085,1185,2715,96.8,98.7
70,20061,1407,2793,99.7,99.8

