rps,cpu_limit,req_rate,req_latency,cpu,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,memory_usage
3.0,5.0,3.0,43.6,13.4,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.8,0.9,0.8,0.8,0.8,569.2
5.0,5.0,5.0,43.3,25.1,1.5,1.5,1.5,1.7,1.6,1.5,1.6,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.6,571.3
7.0,5.0,7.0,42.2,30.8,1.9,1.9,1.9,2.0,2.0,1.9,1.9,1.9,2.0,1.9,2.0,1.9,1.9,1.9,1.9,1.9,571.4
10.0,5.0,10.0,41.5,42.9,2.6,2.7,2.7,2.6,2.6,2.8,2.8,2.7,2.7,2.7,2.8,2.7,2.6,2.7,2.6,2.6,571.3
12.0,5.0,12.0,40.6,49.9,3.1,3.2,3.1,3.2,3.1,3.2,3.2,3.0,3.1,3.1,3.0,3.1,3.2,3.2,3.0,3.1,573.9
15.0,5.0,15.0,39.6,61.0,3.8,3.9,3.8,3.8,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.9,3.8,3.7,3.8,574.7
18.0,5.0,18.0,38.3,72.1,4.6,4.6,4.5,4.6,4.4,4.5,4.5,4.4,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.6,577.2
20.0,5.0,20.0,37.0,78.0,4.8,5.0,4.9,4.8,4.7,4.9,4.8,4.9,4.9,4.9,5.0,4.9,4.9,4.9,4.9,4.8,576.5
22.0,5.0,22.0,35.9,84.5,5.2,5.3,5.3,5.2,5.3,5.3,5.4,5.3,5.3,5.3,5.2,5.2,5.3,5.4,5.2,5.3,594.6
25.0,5.0,25.0,35.5,95.1,6.0,5.9,6.0,6.0,6.0,6.0,6.0,5.9,5.9,6.0,6.0,5.9,5.9,5.9,5.8,5.9,595.2
27.0,5.0,27.0,47.6,99.5,6.1,6.2,6.2,6.3,6.3,6.3,6.3,6.2,6.2,6.1,6.1,6.2,6.3,6.3,6.2,6.2,653.0
1.0,5.5,1.0,44.2,3.5,0.0,0.1,0.2,0.1,0.2,0.3,0.2,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.3,0.3,625.3
3.0,5.5,3.0,43.7,12.5,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.7,0.8,0.8,0.8,546.5
5.0,5.5,5.0,42.7,19.4,1.2,1.2,1.2,1.2,1.3,1.3,1.2,1.2,1.2,1.1,1.2,1.3,1.2,1.2,1.2,1.2,550.9
